gene	signature	type	a	b	c	d	odds_ratio	p	p.adj	significant
RAD51C	TD	loss	6	12	56	136	1.2142857142857142	0.7879387361054736	1.0	False
GAPDH	TD	gain	5	13	58	134	0.8885941644562334	1.0	1.0	False
GAPDH	TD	loss	1	17	13	179	0.8099547511312217	0.9999999999998381	1.0	False
XRCC2	TD	gain	6	12	46	146	1.5869565217391304	0.3963480127836193	1.0	False
XRCC2	TD	loss	1	17	17	175	0.6055363321799307	0.9999999999998732	1.0	False
SLX4	TD	gain	0	18	1	191	0.0	0.9999999999999254	1.0	False
SLX4	TD	loss	9	9	62	130	2.096774193548387	0.19059690419141428	0.7575005166581851	False
BRCA1	TD	gain	0	18	2	190	0.0	0.9999999999999281	1.0	False
BRCA1	TD	loss	13	5	78	114	3.8	0.012412004212912348	0.14561945231151646	False
FANCE	TD	gain	2	16	43	149	0.4331395348837209	0.3736787869066808	1.0	False
FANCE	TD	loss	4	14	21	171	2.326530612244898	0.24167804145854443	0.8611516419787215	False
CCNE1	TD	gain	5	13	48	144	1.1538461538461537	0.7804612441653368	1.0	False
CCNE1	TD	loss	0	18	9	183	0.0	0.9999999999999452	1.0	False
FANCD2	TD	gain	0	18	7	185	0.0	0.9999999999999946	1.0	False
FANCD2	TD	loss	2	16	28	164	0.7321428571428571	0.9999999999999603	1.0	False
FANCM	TD	gain	0	18	11	181	0.0	0.6042287323517197	1.0	False
FANCM	TD	loss	2	16	34	158	0.5808823529411765	0.7442903714402014	1.0	False
FANCI	TD	gain	2	16	27	165	0.7638888888888888	0.9999999999999455	1.0	False
