gene	signature	type	a	b	c	d	odds_ratio	p	p.adj	significant
PALB2	Undetermined	loss	0	1	9	30	0.0	1.0	1.0	False
FANCL	Undetermined	gain	0	1	4	35	0.0	1.0	1.0	False
FANCL	Undetermined	loss	0	1	0	39	inf	1.0	1.0	False
RAD51	Undetermined	gain	1	0	0	39	inf	0.025000000000000147	1.0	False
RAD51	Undetermined	loss	0	1	17	22	0.0	1.0	1.0	False
UBE2T	Undetermined	gain	1	0	8	31	inf	0.22500000000000145	1.0	False
UBE2T	Undetermined	loss	0	1	4	35	0.0	1.0	1.0	False
PIK3CA	Undetermined	gain	0	1	16	23	0.0	1.0	1.0	False
PIK3CA	Undetermined	loss	0	1	0	39	inf	1.0	1.0	False
RB1	Undetermined	gain	0	1	1	38	0.0	1.0	1.0	False
RB1	Undetermined	loss	0	1	19	20	0.0	1.0	1.0	False
MYC	Undetermined	gain	1	0	21	18	inf	1.0	1.0	False
MYC	Undetermined	loss	0	1	1	38	0.0	1.0	1.0	False
FANCF	Undetermined	gain	0	1	1	38	0.0	1.0	1.0	False
FANCF	Undetermined	loss	0	1	8	31	0.0	1.0	1.0	False
FANCB	Undetermined	gain	0	1	2	37	0.0	1.0	1.0	False
FANCB	Undetermined	loss	0	1	19	20	0.0	1.0	1.0	False
MAP3K1	Undetermined	gain	0	1	0	39	inf	1.0	1.0	False
MAP3K1	Undetermined	loss	0	1	17	22	0.0	1.0	1.0	False
MAD2L2	Undetermined	gain	0	1	4	35	0.0	1.0	1.0	False
MAD2L2	Undetermined	loss	0	1	7	32	0.0	1.0	1.0	False
BRCA2	Undetermined	gain	0	1	2	37	0.0	1.0	1.0	False
BRCA2	Undetermined	loss	0	1	13	26	0.0	1.0	1.0	False
ERCC4	Undetermined	gain	0	1	1	38	0.0	1.0	1.0	False
ERCC4	Undetermined	loss	0	1	6	33	0.0	1.0	1.0	False
RAD51C	Undetermined	gain	0	1	6	33	0.0	1.0	1.0	False
RAD51C	Undetermined	loss	0	1	13	26	0.0	1.0	1.0	False
GAPDH	Undetermined	gain	1	0	11	28	inf	0.30000000000000215	1.0	False
GAPDH	Undetermined	loss	0	1	3	36	0.0	1.0	1.0	False
XRCC2	Undetermined	gain	0	1	9	30	0.0	1.0	1.0	False
XRCC2	Undetermined	loss	0	1	3	36	0.0	1.0	1.0	False
SLX4	Undetermined	gain	0	1	0	39	inf	1.0	1.0	False
SLX4	Undetermined	loss	0	1	6	33	0.0	1.0	1.0	False
BRCA1	Undetermined	gain	0	1	0	39	inf	1.0	1.0	False
BRCA1	Undetermined	loss	0	1	13	26	0.0	1.0	1.0	False
FANCE	Undetermined	gain	0	1	10	29	0.0	1.0	1.0	False
FANCE	Undetermined	loss	0	1	6	33	0.0	1.0	1.0	False
CCNE1	Undetermined	gain	0	1	13	26	0.0	1.0	1.0	False
CCNE1	Undetermined	loss	0	1	5	34	0.0	1.0	1.0	False
FANCD2	Undetermined	gain	0	1	1	38	0.0	1.0	1.0	False
FANCD2	Undetermined	loss	0	1	3	36	0.0	1.0	1.0	False
FANCM	Undetermined	gain	0	1	3	36	0.0	1.0	1.0	False
FANCM	Undetermined	loss	0	1	14	25	0.0	1.0	1.0	False
FANCI	Undetermined	gain	0	1	4	35	0.0	1.0	1.0	False
FANCI	Undetermined	loss	0	1	6	33	0.0	1.0	1.0	False
